latitude,longitude,floorSize,price,url
39.07246,-94.55607,2431,55000,https://www.zillow.com/homedetails/2928-Brooklyn-Ave-Kansas-City-MO-64109/2336647_zpid/
39.28693,-94.595634,2069,392900,https://www.zillow.com/community/holly-farms/341193928_zpid/
39.091805,-94.52545,756,85000,https://www.zillow.com/homedetails/1615-Chelsea-Ave-Kansas-City-MO-64127/2324158_zpid/
39.280766,-94.46304,2766,640000,https://www.zillow.com/homedetails/9837-NE-104th-Ter-Kansas-City-MO-64157/337751020_zpid/
39.09104,-94.4992,1040,75000,https://www.zillow.com/homedetails/1630-Corrington-Ave-Kansas-City-MO-64126/2323012_zpid/
39.03864,-94.589165,1630,599000,https://www.zillow.com/homedetails/121-W-48th-St-APT-1901-Kansas-City-MO-64112/61634680_zpid/
39.293766,-94.464226,2173,404700,https://www.zillow.com/community/somerbrook/341193976_zpid/
39.05082,-94.569275,1393,419900,https://www.zillow.com/homedetails/1318-E-42nd-St-Kansas-City-MO-64110/2340551_zpid/
39.03137,-94.564575,1390,135000,https://www.zillow.com/homedetails/5216-Woodland-Ave-Kansas-City-MO-64110/2349131_zpid/
39.259735,-94.53735,2493,499900,https://www.zillow.com/homedetails/3524-NE-91st-St-Kansas-City-MO-64156/2056287508_zpid/
39.293766,-94.464226,1394,358300,https://www.zillow.com/community/somerbrook/341193981_zpid/
39.24029,-94.47307,2617,589000,https://www.zillow.com/homedetails/8807-NE-81st-Ter-Kansas-City-MO-64158/157445159_zpid/
39.308445,-94.468414,2454,459950,https://www.zillow.com/homedetails/11836-N-Lane-Ave-Kansas-City-MO-64157/2053534289_zpid/
39.280792,-94.46299,2791,620000,https://www.zillow.com/homedetails/9841-NE-104th-Ter-Kansas-City-MO-64157/337751019_zpid/
39.724476,-94.831024,2480,179900,https://www.zillow.com/homedetails/2409-Center-Dr-Saint-Joseph-MO-64503/110506144_zpid/
39.751846,-94.81401,1888,159900,https://www.zillow.com/homedetails/3213-Duncan-St-Saint-Joseph-MO-64507/110499705_zpid/
39.73054,-94.818146,2008,239900,https://www.zillow.com/homedetails/3810-S-31st-St-Saint-Joseph-MO-64503/110505756_zpid/
39.746326,-94.78124,1594,299900,https://www.zillow.com/homedetails/2204-Sterling-St-Saint-Joseph-MO-64503/215126670_zpid/
39.746178,-94.781456,1594,299900,https://www.zillow.com/homedetails/2206-Sterling-St-Saint-Joseph-MO-64503/215126671_zpid/
39.71507,-94.85799,1580,163000,https://www.zillow.com/homedetails/428-Haeberle-St-Saint-Joseph-MO-64504/110508870_zpid/
39.742535,-94.770584,2167,299900,https://www.zillow.com/homedetails/5504-Long-View-Dr-Saint-Joseph-MO-64503/110504667_zpid/
39.74679,-94.77947,1254,329900,https://www.zillow.com/homedetails/5201-University-Ave-Saint-Joseph-MO-64503/215126661_zpid/
39.730198,-94.85604,2776,143000,https://www.zillow.com/homedetails/3915-King-Hill-Ave-Saint-Joseph-MO-64504/110506914_zpid/
39.772213,-94.77803,2390,275000,https://www.zillow.com/homedetails/518-Rockwood-Ct-Saint-Joseph-MO-64506/110489770_zpid/
39.78892,-94.83392,1800,265000,https://www.zillow.com/homedetails/2307-N-22nd-St-Saint-Joseph-MO-64505/110492608_zpid/
39.755463,-94.83608,2296,222000,https://www.zillow.com/homedetails/1911-Mitchell-Ave-Saint-Joseph-MO-64507/110501056_zpid/
41.27554,-96.0002,1211,280000,https://www.zillow.com/homedetails/1718-N-56th-St-Omaha-NE-68104/2053655597_zpid/
41.235954,-96.14521,1682,300000,https://www.zillow.com/homedetails/14733-Castelar-Cir-Omaha-NE-68144/75895391_zpid/
41.226006,-95.97865,1623,179900,https://www.zillow.com/homedetails/4248-A-St-Omaha-NE-68105/75842249_zpid/
41.327557,-96.03559,1528,229900,https://www.zillow.com/homedetails/7918-Potter-Plz-Omaha-NE-68122/118728158_zpid/
41.31674,-96.039986,1736,309000,https://www.zillow.com/homedetails/8102-Vernon-Ave-Omaha-NE-68134/75869446_zpid/
41.243828,-96.06125,2493,400000,https://www.zillow.com/homedetails/1602-S-95th-St-Omaha-NE-68124/75892491_zpid/
41.24707,-96.10208,1080,158000,https://www.zillow.com/homedetails/1231-S-121st-Plz-APT-212-Omaha-NE-68144/118860328_zpid/
41.25728,-95.93749,1119,266500,https://www.zillow.com/homedetails/300-S-16th-St-APT-1001-Omaha-NE-68102/91932763_zpid/
